Coordonnees;sitear;neighbourhood;organisat;photo;governorate;district;householdnum;household;men;women;boys;girls;individual;water_access;electric;openelement;damage;hazards;mines;geo;class;accom;siteclass;scoreclass;longitude;latitude;SSID
"42,7851405381483;36,7727642934763";??? ??? ????;?????;;1439276498721.jpg;Dahuk;Sumel;d. 6-7;8;14;13;9;11;47;4. None;4. None;4. None;1. Major;4. none;4. none;36,7727642934763,42,7851405381483;a. 0-49;unfinished;informal settlement;4.Low;42,78514054;36,77276429;IQ0803-0496
"43,2366652220218;36,9093555623173";;?????;;1438168046639.jpg;Dahuk;Dahuk;c. 4-5;9;13;11;12;12;48;4. None;4. None;4. None;1. Major;4. none;4. none;36,9093555623173,43,2366652220218;a. 0-49;unfinished;informal settlement;3.Moderate;43,23666522;36,90935556;IQ0802-0148
"43,2340946466738;36,9100012807518";;?????;;1438174786209.jpg;Dahuk;Dahuk;d. 6-7;8;12;11;15;11;49;4. None;4. None;4. None;1. Major;4. none;4. none;36,9100012807518,43,2340946466738;a. 0-49;unfinished;informal settlement;3.Moderate;43,23409465;36,91000128;IQ0802-0157
"43,2338552682857;36,9101606273154";;?????;;1438175772269.jpg;Dahuk;Dahuk;c. 4-5;10;7;10;13;22;52;4. None;4. None;4. None;1. Major;4. none;4. none;36,9101606273154,43,2338552682857;b. 50-99;unfinished;informal settlement;4.Low;43,23385527;36,91016063;IQ0802-0159
"43,2346112497654;36,9098328540949";;?????;;1438171936936.jpg;Dahuk;Dahuk;d. 6-7;9;17;9;18;12;56;4. None;4. None;4. None;1. Major;4. none;4. none;36,9098328540949,43,2346112497654;b. 50-99;unfinished;informal settlement;4.Low;43,23461125;36,90983285;IQ0802-0153
"43,2337956204518;36,9132540215778";;?????;;1438165626606.jpg;Dahuk;Dahuk;d. 6-7;9;27;13;14;8;62;4. None;4. None;4. None;1. Major;4. none;4. none;36,9132540215778,43,2337956204518;b. 50-99;unfinished;informal settlement;4.Low;43,23379562;36,91325402;IQ0802-0144
"43,2369948172575;36,9093636464497";;?????;;1438167171180.jpg;Dahuk;Dahuk;c. 4-5;13;19;15;16;13;63;4. None;4. None;4. None;1. Major;4. none;4. none;36,9093636464497,43,2369948172575;b. 50-99;unfinished;informal settlement;3.Moderate;43,23699482;36,90936365;IQ0802-0146
"43,2351710134305;36,9096007298639";;?????;;1438170666279.jpg;Dahuk;Dahuk;d. 6-7;11;14;14;21;16;65;4. None;4. None;4. None;1. Major;4. none;4. none;36,9096007298639,43,2351710134305;b. 50-99;unfinished;informal settlement;3.Moderate;43,23517101;36,90960073;IQ0802-0150
"43,2347755476617;36,9131440923082";;?????;;1438164719400.jpg;Dahuk;Dahuk;d. 6-7;11;14;22;19;20;75;4. None;4. None;4. None;1. Major;4. none;4. none;36,9131440923082,43,2347755476617;b. 50-99;unfinished;informal settlement;4.Low;43,23477555;36,91314409;IQ0802-0141
"43,0801209999999;36,8422559999999";;?????;;1438001579665.jpg;Dahuk;Dahuk;d. 6-7;6;7;9;11;16;43;3. Minor;4. None;4. None;1. Major;4. none;4. none;36,8422559999999,43,0801209999999;a. 0-49;unfinished;informal settlement;2.High;43,080121;36,842256;IQ0802-0091
"43,063406;36,837287";;?????? ????;;1437995372388.jpg;Dahuk;Dahuk;c. 4-5;5;8;7;6;6;27;1. Major;3. Minor;4. None;1. Major;4. none;4. none;36,837287,43,063406;a. 0-49;unfinished;informal settlement;1.Extreme;43,063406;36,837287;IQ0802-0056
"45,115737;35,788656";;????? ????;;1440927377918.jpg;Sulaymaniyah;Dokan;c. 4-5;5;6;7;3;4;20;4. None;4. None;4. None;1. Major;4. none;4. none;35,788656,45,115737;a. 0-49;finished;informal settlement;3.Moderate;45,115737;35,788656;IQ0503-0004
"43,3408153691706;37,0452568484043";????? ??????? ??????? ??? ?????? ???????;?????;;1440059937874.jpg;Dahuk;Amedi;c. 4-5;21;24;27;25;17;93;4. None;4. None;1. Major;2. Moderate;3. Minor;4. none;37,0452568484043,43,3408153691706;b. 50-99;skeleton;Collective Center;3.Moderate;43,34081537;37,04525685;IQ0801-0065
"42,8222474156304;36,8670574494532";??? ?????;??????;;1438767522655.jpg;Dahuk;Sumel;c. 4-5;14;17;16;15;19;67;2. Moderate;4. None;1. Major;2. Moderate;4. none;4. none;36,8670574494532,42,8222474156304;b. 50-99;skeleton;informal settlement;3.Moderate;42,82224742;36,86705745;IQ0803-0352
"44,957507;34,705164";;?????????? ???? ??????;;1440748588273.jpg;Diyala;Kifri;c. 4-5;5;5;8;4;1;18;1. Major;4. None;1. Major;2. Moderate;4. none;4. none;34,705164,44,957507;a. 0-49;open;informal settlement;2.High;44,957507;34,705164;IQ1005-0011
"42,9959148774284;36,8615188100865";???? ??????? ?????? ???????;?????;;1438073152825.jpg;Dahuk;Dahuk;d. 6-7;17;20;30;30;27;107;4. None;4. None;1. Major;2. Moderate;4. none;4. none;36,8615188100865,42,9959148774284;c. 100-249;finished;informal settlement;2.High;42,99591488;36,86151881;IQ0802-0120
"42,8844569999999;36,9087079999999";;????;;1438586798247.jpg;Dahuk;Sumel;c. 4-5;6;8;9;6;3;26;4. None;3. Minor;1. Major;2. Moderate;4. none;4. none;36,9087079999999,42,8844569999999;a. 0-49;unfinished;informal settlement;3.Moderate;42,884457;36,908708;IQ0803-0084
"42,8882419999999;36,9050999999999";;????;;1438585682471.jpg;Dahuk;Sumel;d. 6-7;5;10;8;10;6;34;4. None;3. Minor;1. Major;2. Moderate;4. none;4. none;36,9050999999999,42,8882419999999;a. 0-49;unfinished;informal settlement;2.High;42,888242;36,9051;IQ0803-0083
